Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Winter,0,Cold-clear,-10.0,High-clear,65,Low-clear,100,,0,High-clear,10
USA,Winter,1,Cold-clear,-11.0,High-clear,68,Low-clear,90,,0,High-clear,12
USA,Winter,2,Cold-clear,-11.5,High-clear,70,Low-clear,85,,0,High-clear,14
USA,Winter,3,Cold-clear,-11.8,High-clear,72,Low-clear,80,,0,High-clear,15
USA,Winter,4,Cold-clear,-12.0,High-clear,73,Low-clear,75,,0,High-clear,14
USA,Winter,5,Cold-cloudy,-11.5,High-cloudy,70,Low-cloudy,70,,0,High-cloudy,13
USA,Winter,6,Cold-cloudy,-10.0,High-cloudy,68,Low-cloudy,65,,0,High-cloudy,12
USA,Winter,7,Cold-cloudy,-8.0,High-cloudy,65,Low-cloudy,60,Low-cloudy,20,High-cloudy,11
USA,Winter,8,Cold-cloudy,-5.0,High-cloudy,60,Low-cloudy,70,Medium-cloudy,50,Medium-cloudy,10
USA,Winter,9,Cold-cloudy,-3.0,High-cloudy,55,Medium-cloudy,90,High-cloudy,100,Medium-cloudy,9
USA,Winter,10,Cold-cloudy,-1.0,High-cloudy,50,Medium-cloudy,110,High-sunny,120,Medium-cloudy,8
USA,Winter,11,Cold-cloudy,0.0,High-cloudy,45,Medium-cloudy,130,High-sunny,140,Medium-cloudy,7
USA,Winter,12,Cold-sunny,2.0,Medium-sunny,40,High-sunny,150,High-sunny,150,Medium-sunny,6
USA,Winter,13,Cold-sunny,4.0,Medium-sunny,35,High-sunny,160,High-sunny,145,Medium-sunny,7
USA,Winter,14,Cold-sunny,5.0,Medium-sunny,30,High-sunny,155,High-sunny,140,Medium-sunny,8
USA,Winter,15,Cold-sunny,5.5,Medium-sunny,35,High-sunny,150,High-sunny,130,Medium-sunny,10
USA,Winter,16,Cold-sunny,4.5,Medium-cloudy,40,Medium-cloudy,130,Medium-cloudy,100,Medium-cloudy,12
USA,Winter,17,Cold-cloudy,2.0,High-cloudy,50,Medium-cloudy,110,Low-cloudy,50,High-cloudy,14
USA,Winter,18,Cold-cloudy,0.0,High-cloudy,60,Low-cloudy,90,,0,High-cloudy,15
USA,Winter,19,Cold-cloudy,-2.0,High-cloudy,65,Low-cloudy,70,,0,High-cloudy,14
USA,Winter,20,Cold-cloudy,-4.0,High-cloudy,70,Low-cloudy,60,,0,High-cloudy,13
USA,Winter,21,Cold-clear,-6.0,High-clear,72,Low-clear,55,,0,High-clear,12
USA,Winter,22,Cold-clear,-8.0,High-clear,70,Low-clear,50,,0,High-clear,11
USA,Winter,23,Cold-clear,-10.0,High-clear,68,Low-clear,55,,0,High-clear,10
USA,Spring,0,Cool-clear,5.0,Medium-clear,60,Low-clear,150,,0,Medium-clear,6
USA,Spring,1,Cool-clear,4.5,Medium-clear,62,Low-clear,140,,0,Medium-clear,7
USA,Spring,2,Cool-clear,4.0,Medium-clear,65,Low-clear,130,,0,Medium-clear,8
USA,Spring,3,Cool-clear,4.0,Medium-clear,68,Low-clear,120,,0,Medium-clear,9
USA,Spring,4,Cool-cloudy,5.0,High-cloudy,70,Low-cloudy,110,,0,Medium-cloudy,10
USA,Spring,5,Cool-cloudy,6.0,High-cloudy,72,Low-cloudy,100,,0,Medium-cloudy,11
USA,Spring,6,Cool-cloudy,7.0,High-cloudy,70,Low-cloudy,90,Low-cloudy,50,Medium-cloudy,10
USA,Spring,7,Cool-cloudy,9.0,Medium-cloudy,65,Medium-cloudy,100,Medium-cloudy,100,Medium-cloudy,9
USA,Spring,8,Cool-cloudy,11.0,Medium-cloudy,60,Medium-cloudy,120,High-cloudy,150,Medium-sunny,8
USA,Spring,9,Cool-sunny,13.0,Medium-sunny,55,Medium-sunny,150,High-sunny,200,Medium-sunny,7
USA,Spring,10,Cool-sunny,15.0,Medium-sunny,50,High-sunny,180,High-sunny,250,Medium-sunny,6
USA,Spring,11,Cool-sunny,17.0,Low-sunny,45,High-sunny,220,High-sunny,300,Low-sunny,5
USA,Spring,12,Warm-sunny,18.0,Low-sunny,40,High-sunny,250,High-sunny,350,Low-sunny,4
USA,Spring,13,Warm-sunny,19.0,Low-sunny,42,High-sunny,240,High-sunny,330,Low-sunny,5
USA,Spring,14,Warm-sunny,20.0,Medium-sunny,45,High-sunny,230,High-sunny,310,Medium-sunny,6
USA,Spring,15,Warm-sunny,19.5,Medium-sunny,50,High-sunny,220,High-sunny,290,Medium-sunny,7
USA,Spring,16,Warm-cloudy,18.0,Medium-cloudy,55,Medium-cloudy,200,Medium-cloudy,250,Medium-cloudy,8
USA,Spring,17,Warm-cloudy,16.0,High-cloudy,60,Medium-cloudy,180,Low-cloudy,150,High-cloudy,10
USA,Spring,18,Cool-cloudy,14.0,High-cloudy,65,Low-cloudy,150,,0,High-cloudy,11
USA,Spring,19,Cool-cloudy,12.0,High-cloudy,70,Low-cloudy,130,,0,High-cloudy,10
USA,Spring,20,Cool-cloudy,10.0,High-cloudy,75,Low-cloudy,110,,0,High-cloudy,9
USA,Spring,21,Cool-clear,8.0,Medium-clear,70,Low-clear,100,,0,Medium-clear,8
USA,Spring,22,Cool-clear,7.0,Medium-clear,65,Low-clear,110,,0,Medium-clear,7
USA,Spring,23,Cool-clear,6.0,Medium-clear,60,Low-clear,120,,0,Medium-clear,6
USA,Summer,0,Warm-clear,22.0,Medium-clear,40,Low-clear,150,,0,Medium-clear,5
USA,Summer,1,Warm-clear,21.5,Medium-clear,42,Low-clear,140,,0,Medium-clear,6
USA,Summer,2,Warm-clear,21.0,Medium-clear,45,Low-clear,130,,0,Medium-clear,7
USA,Summer,3,Warm-clear,21.0,Medium-clear,48,Low-clear,120,,0,Medium-clear,8
USA,Summer,4,Warm-cloudy,22.0,High-cloudy,50,Low-cloudy,110,,0,Medium-cloudy,9
USA,Summer,5,Warm-cloudy,23.0,High-cloudy,52,Low-cloudy,100,,0,Medium-cloudy,10
USA,Summer,6,Warm-cloudy,24.0,High-cloudy,50,Low-cloudy,90,Low-cloudy,350,Medium-cloudy,9
USA,Summer,7,Warm-cloudy,26.0,Medium-cloudy,45,Medium-cloudy,100,Medium-cloudy,500,Medium-cloudy,8
USA,Summer,8,Warm-cloudy,28.0,Medium-cloudy,40,Medium-cloudy,120,High-cloudy,700,Medium-sunny,7
USA,Summer,9,Warm-sunny,30.0,Medium-sunny,35,Medium-sunny,150,High-sunny,850,Medium-sunny,6
USA,Summer,10,Warm-sunny,32.0,Medium-sunny,30,High-sunny,180,High-sunny,950,Medium-sunny,5
USA,Summer,11,Warm-sunny,34.0,Low-sunny,25,High-sunny,220,High-sunny,1000,Low-sunny,4
USA,Summer,12,Hot-sunny,35.0,Low-sunny,20,High-sunny,250,High-sunny,1000,Low-sunny,3
USA,Summer,13,Hot-sunny,34.5,Low-sunny,22,High-sunny,240,High-sunny,950,Low-sunny,4
USA,Summer,14,Hot-sunny,34.0,Medium-sunny,25,High-sunny,230,High-sunny,900,Medium-sunny,5
USA,Summer,15,Hot-sunny,33.5,Medium-sunny,30,High-sunny,220,High-sunny,850,Medium-sunny,6
USA,Summer,16,Hot-cloudy,32.0,Medium-cloudy,35,Medium-cloudy,200,Medium-cloudy,700,Medium-cloudy,7
USA,Summer,17,Hot-cloudy,30.0,High-cloudy,40,Medium-cloudy,180,Low-cloudy,400,High-cloudy,9
USA,Summer,18,Warm-cloudy,28.0,High-cloudy,45,Low-cloudy,150,,0,High-cloudy,10
USA,Summer,19,Warm-cloudy,26.0,High-cloudy,50,Low-cloudy,130,,0,High-cloudy,9
USA,Summer,20,Warm-cloudy,24.0,High-cloudy,55,Low-cloudy,110,,0,High-cloudy,8
USA,Summer,21,Warm-clear,23.0,Medium-clear,50,Low-clear,100,,0,Medium-clear,7
USA,Summer,22,Warm-clear,22.5,Medium-clear,45,Low-clear,110,,0,Medium-clear,6
USA,Summer,23,Warm-clear,22.0,Medium-clear,40,Low-clear,120,,0,Medium-clear,5
